	-12.55	0.04
ypr	-89.89	2.00	6.19
ypr	-90.14	2.31	4.24
ypr	-90.38	2.50	2.24
ypr	-90.50	2.59	0.84
ypr	-90.48	2.67	0.16
ypr	-90.39	2.73	-0.06
ypr	-90.38	2.85	-0.58
ypr	-90.53	3.01	-1.63
ypr	-90.81	3.19	-3.39
ypr	-91.09	3.29	-5.15
ypr	-91.39	3.30	-6.89
ypr	-91.67	3.31	-8.20
ypr	-91.84	3.36	-9.02
ypr	-92.07	3.42	-10.04
ypr	-92.51	3.50	-11.89
ypr	-93.20	3.53	-14.89
ypr	-93.85	3.52	-18.03
ypr	-94.42	3.45	-20.79
FIFO overflow!
ypr	-82.04	-2.95	32.35
ypr	-81.74	-3.15	34.66
ypr	-81.68	-3.27	36.29
ypr	-81.77	-3.32	37.24
ypr	-82.01	-3.42	37.81
ypr	-82.33	-3.48	38.32
ypr	-82.47	-3.54	38.92
ypr	-82.50	-3.67	39.65
ypr	-82.49	-3.83	40.31
ypr	-82.52	-3.95	40.48
ypr	-82.64	-3.99	40.24
ypr	-82.82	-3.93	39.78
ypr	-82.98	-3.85	39.30
ypr	-83.05	-3.84	39.07
ypr	-83.11	-3.89	38.86
ypr	-83.18	-4.00	38.56
ypr	-83.16	-4.08	38.28
ypr	-83.12	-4.05	37.86
ypr	-83.21	-3.88	37.12
ypr	-83.39	-3.58	35.99
ypr	-83.69	-3.15	34.28
FIFO overflow!
ypr	-83.17	-1.38	15.26
ypr	-82.20	-2.36	20.92
ypr	-81.35	-3.40	26.17
ypr	-80.96	-4.24	30.19
ypr	-80.82	-4.85	33.55
ypr	-80.62	-5.33	36.98
ypr	-80.44	-5.73	39.79
ypr	-80.45	-6.00	41.75
ypr	-80.30	-6.15	43.27
ypr	-80.12	-6.32	44.70
ypr	-80.08	-6.43	45.96
ypr	-80.26	-6.42	46.89
ypr	-80.66	-6.34	47.27
ypr	-81.07	-6.26	47.21
ypr	-81.40	-6.09	46.65
ypr	-81.70	-5.86	45.42
ypr	-81.98	-5.52	43.45
ypr	-82.33	-4.95	40.15
ypr	-82.70	-4.17	35.14
ypr	-83.25	-3.39	29.10
ypr	-83.85	-2.61	22.57
FIFO overflow!
ypr	-88.46	22.30	-18.99
ypr	-88.37	22.47	-19.05
ypr	-88.22	22.34	-18.85
ypr	-87.99	21.92	-18.17
ypr	-87.69	21.21	-17.05
ypr	-87.34	20.24	-15.75
ypr	-87.04	18.93	-14.13
ypr	-87.04	17.15	-12.49
ypr	-87.45	15.03	-11.54
ypr	-88.19	12.79	-11.22
ypr	-89.04	10.76	-11.44
ypr	-89.94	8.84	-11.67
ypr	-90.66	7.01	-11.20
ypr	-91.00	5.22	-9.41
ypr	-90.87	3.52	-6.37
ypr	-90.67	2.00	-3.38
ypr	-90.60	0.58	-1.72
ypr	-90.61	-0.66	-1.02
ypr	-90.66	-1.86	-0.53
ypr	-90.56	-2.67	-0.92
ypr	-35.08	-67.09	-22.60
FIFO overflow!
ypr	-90.22	-2.00	-8.28
ypr	-90.21	-1.98	-8.31
ypr	-90.17	-1.99	-8.09
ypr	-90.09	-1.93	-7.87
ypr	-89.98	-1.84	-7.64
ypr	-89.98	-1.93	-7.48
ypr	-90.05	-1.92	-7.58
ypr	-90.12	-2.01	-7.68
ypr	-90.18	-2.05	-7.76
ypr	-90.18	-2.08	-7.74
ypr	-90.18	-2.07	-7.74
ypr	-90.16	-2.04	-7.61
ypr	-90.07	-2.01	-7.26
ypr	-89.91	-1.99	-6.70
ypr	-89.79	-1.98	-6.33
ypr	-89.80	-1.98	-6.26
ypr	-89.81	-1.99	-6.19
ypr	-89.79	-1.98	-6.07
ypr	-89.72	-1.95	-5.82
ypr	-89.56	-1.88	-5.36
